Item Label;Description;alias;instance of;P1:string;P69:string;P44:wikibase-item;P33:quantity;P64:wikibase-item;P27:wikibase-item;P32:time;P49:wikibase-item;P50:wikibase-item;P52:wikibase-item;P56:wikibase-item;P55:wikibase-item;P59:wikibase-item;P57:wikibase-item;P65:wikibase-item;P58:wikibase-item;P60:wikibase-item;P54:wikibase-item;P53:wikibase-item;P51:string;P61:wikibase-itemPQ62-Cousin;P61:wikibase-itemPQ62-Grandchild;P61:wikibase-itemPQ62-Nephew;P61:wikibase-itemPQ62-Uncle;P61:wikibase-itemPQ62-Grandfather;P61:wikibase-itemPQ62-Grandmother;P61:wikibase-itemPQ62-Sibling-in-law;P61:wikibase-itemPQ62-Father-in-law;P61:wikibase-itemPQ62-Son-in-law;P66:string;P67:string;P28:wikibase-item;P6:wikibase-item;P5:wikibase-item;P43:wikibase-item;P19:wikibase-item;P18:wikibase-item;P17:wikibase-item;P12:wikibase-itemPQ13-Witness;P12:wikibase-itemPQ13-Notary;P12:wikibase-itemPQ13-Judge;P12:wikibase-itemPQ13-PartyA;P12:wikibase-itemPQ13-PartyB;P15:wikibase-item;P37:wikibase-item;P35:wikibase-item;P46:wikibase-item
Mercader;Instance of Occupation;;Q39;AMSPO-D92Oc1|AMSPO-D77Oc3|AMSPO-D42Oc6|AMSPO-D41Oc5|AMSPO-D59Oc1|AMSPO-D59Oc5|AMSPO-D88Oc1|AMSPO-D65Oc6|AMSPO-D24Oc8|AMSPO-D103Oc2|AMSPO-D15Oc3|AMSPO-D109Oc5|AMSPO-D71Oc4|AMSPO-D14Oc1|AMSPO-D29Oc5|AMSPO-D53Oc4|AMSPO-D48Oc1|AMSPO-D60Oc4|AMSPO-D15Oc2|AMSPO-D25Oc3|AMSPO-D61Oc1|AMSPO-D71Oc3;Mercader;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Carnicero;Instance of Occupation;;Q39;AMSPO-D52Oc7|AMSPO-D52Oc6|AMSPO-D85Oc3|AMSPO-D49Oc5|AMSPO-D88Oc5|AMSPO-D25Oc6|AMSPO-D52Oc2|AMSPO-D30Oc1|AMSPO-D47Oc3|AMSPO-D81Oc2|AMSPO-D84Oc5|AMSPO-D55Oc6|AMSPO-D121Oc2|AMSPO-D46Oc1;Carnicero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alfayate;Instance of Occupation;;Q39;AMSPO-D38Oc1|AMSPO-D34Oc1|AMSPO-D108Oc1|AMSPO-D52Oc4|AMSPO-D81Oc5|AMSPO-D85Oc5|AMSPO-D63Oc3|AMSPO-D79Oc3|AMSPO-D20Oc6|AMSPO-D33Oc1|AMSPO-D52Oc8|AMSPO-D114Oc3|AMSPO-D109Oc1|AMSPO-D104Oc4|AMSPO-D123Oc3|AMSPO-D13Oc3|AMSPO-D38Oc2|AMSPO-D18Oc4|AMSPO-D104Oc2|AMSPO-D85Oc4|AMSPO-D19Oc5|AMSPO-D112Oc1|AMSPO-D15Oc4|AMSPO-D21Oc7|AMSPO-D88Oc4|AMSPO-D38Oc5|AMSPO-D106Oc1;Alfayate;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zapatero;Instance of Occupation;;Q39;AMSPO-D43Oc1|AMSPO-D22Oc2|AMSPO-D42Oc4|AMSPO-D94Oc1|AMSPO-D88Oc6|AMSPO-D67Oc4|AMSPO-D45Oc6|AMSPO-D108Oc2|AMSPO-D53Oc6|AMSPO-D41Oc6|AMSPO-D48Oc5|AMSPO-D42Oc5;Zapatero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Frade de Santirso;Instance of Occupation;;Q39;AMSPO-D54Oc4;Frade de Santirso;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alfageme;Instance of Occupation;;Q39;AMSPO-D42Oc3|AMSPO-D111Oc6|AMSPO-D41Oc4;Alfageme;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Clérigo del coro;Instance of Occupation;;Q39;AMSPO-D104Oc6|AMSPO-D54Oc6;Clérigo del coro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notario;Instance of Occupation;;Q39;AMSPO-D62Oc5|AMSPO-D75Oc5|AMSPO-D58Oc1|AMSPO-D75Oc6|AMSPO-D57Oc3|AMSPO-D63Oc4|AMSPO-D47Oc4|AMSPO-D62Oc4|AMSPO-D50Oc1|AMSPO-D56Oc3|AMSPO-D73Oc3|AMSPO-D74Oc2|AMSPO-D55Oc5|AMSPO-D27Oc2|AMSPO-D99Oc2|AMSPO-D57Oc5|AMSPO-D27Oc3|AMSPO-D58Oc5|AMSPO-D49Oc2|AMSPO-D78Oc1|AMSPO-D55Oc3|AMSPO-D81Oc4|AMSPO-D59Oc4|AMSPO-D45Oc5;Notario;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Carpintero;Instance of Occupation;;Q39;AMSPO-D120Oc3|AMSPO-D119Oc4|AMSPO-D36Oc4|AMSPO-D40Oc4|AMSPO-D40Oc5|AMSPO-D46Oc3|AMSPO-D6Oc4;Carpintero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Correro;Instance of Occupation;;Q39;AMSPO-D39Oc3|AMSPO-D6Oc7;Correro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Portero del Monasterio de San Vicente de Oviedo;Instance of Occupation;;Q39;AMSPO-D116Oc6|AMSPO-D128Oc4;Portero del Monasterio de San Vicente de Oviedo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Escudero;Instance of Occupation;;Q39;AMSPO-D118Oc2|AMSPO-D18Oc8|AMSPO-D28Oc8|AMSPO-D8Oc5|AMSPO-D55Oc7|AMSPO-D16Oc10|AMSPO-D9Oc10|AMSPO-D7Oc4|AMSPO-D3Oc2|AMSPO-D41Oc3|AMSPO-D11Oc7|AMSPO-D1Oc3;Escudero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Monje del monasterio de San Vicente de Oviedo;Instance of Occupation;;Q39;AMSPO-D126Oc1|AMSPO-D89Oc3|AMSPO-D89Oc2|AMSPO-D128Oc1|AMSPO-D107Oc2|AMSPO-D116Oc3|AMSPO-D104Oc1|AMSPO-D107Oc6|AMSPO-D107Oc3|AMSPO-D107Oc1;Monje del monasterio de San Vicente de Oviedo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tendero;Instance of Occupation;;Q39;AMSPO-D65Oc4|AMSPO-D31Oc2|AMSPO-D56Oc1|AMSPO-D32Oc2|AMSPO-D12Oc7;Tendero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombre;Instance of Occupation;;Q39;AMSPO-D65Oc5|AMSPO-D54Oc3|AMSPO-D17Oc4|AMSPO-D65Oc7|AMSPO-D109Oc4|AMSPO-D32Oc1|AMSPO-D13Oc6|AMSPO-D31Oc1;Hombre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Capellán;Instance of Occupation;;Q39;AMSPO-D50Oc3|AMSPO-D82Oc2|AMSPO-D95Oc3|AMSPO-D49Oc4|AMSPO-D125Oc2|AMSPO-D100Oc5|AMSPO-D96Oc3|AMSPO-D69Oc2;Capellán;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Obispo de Oviedo;Instance of Public Office;;Q56;AMSPO-D24Oc3|AMSPO-D1Oc5|AMSPO-D16Oc4|AMSPO-D6Oc6|AMSPO-D20Oc3|AMSPO-D9Oc8;Obispo de Oviedo;;;Oviedo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Luquetero;Instance of Occupation;;Q39;AMSPO-D41Oc2;Luquetero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Calderero;Instance of Occupation;;Q39;AMSPO-D1Oc7;Calderero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hombre del Chantre;Instance of Occupation;;Q39;AMSPO-D16Oc6|AMSPO-D16Oc11;Hombre del Chantre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Oficial del cabildo;Instance of Occupation;;Q39;AMSPO-D40Oc3;Oficial del cabildo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Criado del Abad de San Vicente;Instance of Occupation;;Q39;AMSPO-D67Oc3;Criado del Abad de San Vicente;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Criado;Instance of Occupation;;Q39;AMSPO-D9Oc2|AMSPO-D67Oc5|AMSPO-D78Oc4|AMSPO-D93Oc1|AMSPO-D28Oc6|AMSPO-D12Oc1|AMSPO-D80Oc3|AMSPO-D117Oc2|AMSPO-D12Oc6|AMSPO-D46Oc4|AMSPO-D72Oc4|AMSPO-D39Oc7|AMSPO-D35Oc3|AMSPO-D68Oc3|AMSPO-D18Oc2|AMSPO-D28Oc7;Criado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rey de Castilla y León;Instance of Public Office;;Q56;AMSPO-D6Oc1|AMSPO-D24Oc1|AMSPO-D1Oc1|AMSPO-D16Oc1|AMSPO-D9Oc1|AMSPO-D20Oc1;Rey de Castilla y León;;;Castilla|León;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Andador;Instance of Occupation;;Q39;AMSPO-D112Oc5|AMSPO-D65Oc1|AMSPO-D72Oc1;Andador;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Monje del Monasterio de San Vicente;Instance of Occupation;;Q39;AMSPO-D12Oc5;Monje del Monasterio de San Vicente;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Entrogio;Instance of Occupation;;Q39;AMSPO-D56Oc4;Entrogio;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Capellán de San Miguel de Báscones;Instance of Occupation;;Q39;AMSPO-D25Oc4;Capellán de San Miguel de Báscones;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Andador del concejo;Instance of Occupation;;Q39;AMSPO-D28Oc4;Andador del concejo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Peletero;Instance of Occupation;;Q39;AMSPO-D11Oc5|AMSPO-D11Oc2|AMSPO-D11Oc4|AMSPO-D9Oc5|AMSPO-D9Oc9;Peletero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cambiador;Instance of Occupation;;Q39;AMSPO-D5Oc4|AMSPO-D12Oc8|AMSPO-D2Oc3;Cambiador;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notario público del Obispo de Oviedo;Instance of Public Office;;Q56;AMSPO-D10Oc1;Notario público del Obispo de Oviedo;;;Llanera;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cocinero;Instance of Occupation;;Q39;AMSPO-D72Oc6;Cocinero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Caballero;Instance of Occupation;;Q39;AMSPO-D60Oc2|AMSPO-D76Oc3|AMSPO-D37Oc3;Caballero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cuchillero;Instance of Occupation;;Q39;AMSPO-D24Oc6|AMSPO-D62Oc1|AMSPO-D75Oc2;Cuchillero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Obispo;Instance of Occupation;;Q39;AMSPO-D28Oc1|AMSPO-D35Oc4;Obispo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pellitero;Instance of Occupation;;Q39;AMSPO-D70Oc3|AMSPO-D66Oc2|AMSPO-D118Oc4;Pellitero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ferrador;Instance of Occupation;;Q39;AMSPO-D100Oc1;Ferrador;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fornero;Instance of Occupation;;Q39;AMSPO-D9Oc6;Fornero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Criado del deán;Instance of Occupation;;Q39;AMSPO-D48Oc4;Criado del deán;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pedrero;Instance of Occupation;;Q39;AMSPO-D36Oc5;Pedrero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hortelano;Instance of Occupation;;Q39;AMSPO-D111Oc4|AMSPO-D114Oc5|AMSPO-D13Oc1;Hortelano;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notario público del rey en Avilés;Instance of Public Office;;Q56;AMSPO-D1Oc6;Notario público del rey en Avilés;;;Avilés;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Recuero;Instance of Occupation;;Q39;AMSPO-D86Oc3|AMSPO-D101Oc1;Recuero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Herrero;Instance of Occupation;;Q39;AMSPO-D27Oc5;Herrero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alcalde del rey;Instance of Occupation;;Q39;AMSPO-D43Oc4;Alcalde del rey;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Juez de Grado;Instance of Public Office;;Q56;AMSPO-D4Oc2;Juez de Grado;;;Grado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Canónigo;Instance of Occupation;;Q39;AMSPO-D84Oc6|AMSPO-D47Oc2|AMSPO-D41Oc9|AMSPO-D101Oc5;Canónigo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Especiero;Instance of Occupation;;Q39;AMSPO-D73Oc2;Especiero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Corredor;Instance of Occupation;;Q39;AMSPO-D120Oc4;Corredor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ferrero;Instance of Occupation;;Q39;AMSPO-D28Oc5|AMSPO-D57Oc4|AMSPO-D63Oc5;Ferrero;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Esfollador;Instance of Occupation;;Q39;AMSPO-D52Oc3;Esfollador;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tendidor;Instance of Occupation;;Q39;AMSPO-D21Oc2;Tendidor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Portero del Obispo;Instance of Occupation;;Q39;AMSPO-D30Oc5;Portero del Obispo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
